There are methods that should be deprecated and new methods should be added with names matching purposes,getBlacklistedTrackers() should be deprecated and a new method called  getNumBlacklistedTrackers should be added. 
The example provided in the javadoc for Job is outdated.,Missing alternatives in javadocs for deprecated constructors in mapreduce.Job
Succeeded Job details displayed as Error  In JobHistoryServer UI when RM issues Reboot to 1st app master.,Historyserver does not refresh the result of restarted jobs after RM restart
MRAppMaster throws InvalidStateTransitonException: Invalid event: TA_TOO_MANY_FETCH_FAILURE at KILLED for TaskAttemptImpl,Invalid event: TA_CONTAINER_LAUNCH_FAILED at KILLED
JobHistoryServer has no information about applications if the MR-AM crashes,History for failed Application Masters should be made available to the Job History Server
TestNonExistentJob is failed due to recent changes in YARN,TestNonExistentJob failing after YARN-873
TestRMContainerAllocator.testUpdatedNodes fails on jdk7,TestRMContainerAllocator#testUpdatedNodes fails
Allow repeating job commit by extending OutputCommitter API,Add retry on some connection exception on job commit phase
History link in resource manager is broken for KILLED jobs,killing jobs which have failed causes log missing
History link in resource manager is broken for KILLED jobs,Job staging directory remains if MRAppMaster is OOM
TestMRJobClient.testJobClient is failing,TestMRJobClient fails on trunk
TestMRJobClient.testJobClient is failing,TestMRJobClient fails on Windows and Linux
TestClusterMRNotification.testMR is failing,MRAppMaster#shutDownJob shouldn't send job end notification before checking isLastRetry
Killing a job just as it finishes can generate an NPE in client,Potential NullPointerException in YARNRunner.killJob(JobID arg0)
Ability to limit running map and reduce tasks,To limit the map task number or reduce task number of an application
Allow setting lineage information,Allow setting tags on MR jobs
TestMiniMRChildTask fails on Windows,PATH environment variable contains duplicate values in map and reduce tasks on Windows.
java.lang.RuntimeException: javax.xml.parsers.ParserConfigurationException:,Error in runtime in mapreduce code
MR job will fail after commit fail,Job should be marked as Failed if it is recovered from commit.
TestRMContainerAllocator#testCompletedTasksRecalculateSchedule fails,TestRMContainerAllocator is failing
availableResources sent to applicationMaster in heartbeat should exclude blacklistedNodes free memory.,Deadlock allocating containers for mappers and reducers
Make TestMRJobsWithProfiler#testProfiler faster,TestMRJobsWithProfiler#testProfiler timesout
add default value of MR_AM_ADMIN_USER_ENV,uber job with LinuxContainerExecutor cause exception
add default value of MR_AM_ADMIN_USER_ENV,MR AM unable to load native library without MR_AM_ADMIN_USER_ENV set
MapReduce counts forcibly preempted containers as FAILED,Container preemption interpreted as task failures and eventually job failures 
Counter limits always use defaults even if JobClient is given a different Configuration,Make Counter limits consistent across JobClient; MRAppMaster; and YarnChild
TestPipeApplication causing nightly build to fail,org.apache.hadoop.mapred.pipes.TestPipeApplication timeouts intermittently
Make Counter limits consistent across JobClient; MRAppMaster; and YarnChild,Job failed due to counter out of limited in MRAppMaster
Add Xattr option in DistCp docs ,Update distcp documentation to mention option for preserving xattrs.
Add support for the YARN Shared Cache,An ability to override LocalResourceVisibility for public resources
Fix native-task build on Ubuntu 13.10,native-task: Fix build on macosx
native-task: simplify/remove dead code,native-task: Simplify ByteBufferDataReader/Writer
hadoop yarn mapreduce skip failed records doesn't work,hadoop yarn mapreduce skip failed records doesn't work
Fix MR_CLIENT_TO_AM_IPC_MAX_RETRIES_ON_TIMEOUTS property in MRJobConfig,MRJobConfig#MR_CLIENT_TO_AM_IPC_MAX_RETRIES_ON_TIMEOUTS config name is wrong
native-task: fix gtest build on macosx,hadoop-mapreduce-client-nativetask fails to compile on OS X
TestJobHistoryParsing#testPartialJob timeouts in some environments,TestJobHistoryParsing.testPartialJob fails in branch-2
TestMRCJCFileInputFormat.testAddInputPath() fails on trunk,org.apache.hadoop.mapreduce.lib.input.TestMRCJCFileInputFormat intermittently failed in trunk
TestMRCJCFileInputFormat.testAddInputPath() fails on trunk,TestMRCJCFileInputFormat#testAddInputPath fails in trunk
TestPipeApplication#testSubmitter fails in trunk,TestPipeApplication fails on trunk
Fetcher - connect() doesn't handle connection refused correctly ,Connect failed in shuffle (due to NM down) could break current retry logic to tolerant NM restart.
TestMRTimelineEventHandling fails in trunk,TestMRTimelineEventHandling fails on trunk
TestAggregatedTransferRate fails on non-US systems,TestAggregatedTransferRate fails on non-US systems
Fix new findbug warnings in hadoop-mapreduce-client-core,Findbugs warnings in mapreduce-client-core
Fix new findbug warnings in hadoop-mapreduce-client-core,Fix findbugs warnings in hadoop-mapreduce-client-core
MR2 can't run local jobs with -libjars command options which is a regression from MR1,libjars are assumed to be in the DistributedCache but are never added in pseudo distributed mode
mapred job -status fails with AccessControlException ,Job History File Permissions configurable
Task list sort by task id broken,Task UI; sort by name doesn't work
Remove property mapreduce.tasktracker.taskmemorymanager.monitoringinterval,Remove mapreduce.tasktracker.taskmemorymanager.monitoringinterval from trunk
Fetcher#copyMapOutput is leaking usedMemory upon IOException during InMemoryMapOutput shuffle handler,Reducer hung in copy phase.
Job history file is not flushed correctly because isTimerActive flag is not set true when flushTimerTask is scheduled.,JobHistoryEventHandler could not flush every 30 secondes
mapred.nativetask.kvtest.KVTest crashes on PPC64LE,Native task crashes when merging spilled file on ppc64
HTML tag shown in Diagnostics field of JobHistoryPage,Don't escape HTML links in Diagnostics in JHS job overview
Allow AM to specify a port range for starting its webapp,allow specifying range on the port that MR AM web server binds to
Improve temporary directory name generation in LocalDistributedCacheManager for concurrent processes,LocalDistributedCacheManager can have overlapping filenames
Improve temporary directory name generation in LocalDistributedCacheManager for concurrent processes,Race for temp dir in LocalDistributedCacheManager.java
NNBench map task should create files in separate folder,Support MultiThreads in a Map and Distribution of files in NNBench
MapReduce AM should have java.io.tmpdir=./tmp to be consistent with tasks,AM java.io.tmpdir should be set to $PWD/tmp
MiniYARNCluster.start() returns before cluster is completely started,TestRMNMInfo and TestNetworkedJob fails in trunk
Fix intermittent test failure of TestMRJobsWithHistoryService.testJobHistoryData,Fix test failure of TestMiniMRClientCluster.testRestart
multibyte delimiters with LineRecordReader cause duplicate records,TextInputFormat: duplicate records with custom delimiter
Some tests in mapreduce-client-app are writing outside of target,TestMRAppMaster should use test.build.data for test directory
MR AM unable to load native library without MR_AM_ADMIN_USER_ENV set,Update MRJobConfig.DEFAULT_MAPRED_ADMIN_USER_ENV value for loading correct navite lib when using ubertask feature
JobStatus#getFailureInfo should not output diagnostic information when the job is running,TestRMNMInfo and TestNetworkedJob fails in trunk
TestJobHistoryEventHandler#testTimelineEventHandling failing in trunk,TestJobHistoryEventHandler.testTimelineEventHandling fails on trunk because of NPE
Fix findbugs warnings in OutputCommitter and FileOutputCommitter,Findbug issue in org.apache.hadoop.mapred.OutputCommitter
Do not attempt to recover progress from previous job attempts if spill encryption is enabled,Jobs with encrypted spills don't tolerate AM failures
Add yarn.app.mapreduce.am.log.level to mapred-default.xml,yarn.app.mapreduce.am.log.level is not documented in mapred-default.xml
Mapreduce App master waits long to kill containers on lost nodes.,Containers on lost nodes are considered failed after a too long time.
Update the documents to run MapReduce application,Default setting 'inheritParentEnv=false' caused mr executor failed to initialize
Task failing continuously on trunk,Update TaskUmbilicalProtocol to use ProtobufRPCEngine
Single shuffle to memory must not exceed Integer#MAX_VALUE,Negative Array Exception while reducer fetch mapper output
Fix flaky TestKill.testKillTask(),TestKill.testKillTask is flaky
Add peak memory usage counter for each task,MapReduce jobs may fail during rolling upgrade due to MAPREDUCE-6829
ShuffleMetrics.ShuffleConnections Gauge Metric Climbs Infinitely,ShuffleMetrics.ShuffleConnections Gauge Metric Rises Infinitely
MapReduce jobs may fail during rolling upgrade due to MAPREDUCE-6829,MR task counters deserialized through RPC throws OutOfBoundsException if Counter enum class version not match
